workload,hit_rate,bits,usage_percentage
603.bwaves_s-2931B,0.49,57,48.25088219326818
619.lbm_s-2676B,0.6,24,48.00110082674335
619.lbm_s-3766B,0.59,28,48.03065527681661
619.lbm_s-2677B,0.55,22,48.01394875478927
619.lbm_s-4268B,0.4,11,48.004440197841724
603.bwaves_s-2609B,0.89,37,48.11169610507247
603.bwaves_s-1740B,0.89,37,48.55100769927536
602.gcc_s-2226B,0.27,10,48.13557587336245
436.cactusADM-1804B,0.52,19,41.00075692041523
605.mcf_s-1554B,0.12,8,45.04712975543478
649.fotonik3d_s-7084B,0.93,56,49.27793560606061
481.wrf-455B,0.93,58,48.238820043103445
459.GemsFDTD-765B,0.75,26,48.0128002528445
459.GemsFDTD-1418B,0.82,54,48.739769345238095
459.GemsFDTD-1320B,0.85,55,48.19413442460318
654.roms_s-523B,0.7,8,48.043756237524946
459.GemsFDTD-1169B,0.81,55,49.057572273324574
459.GemsFDTD-1211B,0.8,54,49.32979347041847
