workload,usage
649.fotonik3d_s-10881B,3410
429.mcf-192B,2511
429.mcf-184B,2507
605.mcf_s-1644B,2284
429.mcf-22B,1838
619.lbm_s-2677B,1827
605.mcf_s-994B,1799
429.mcf-51B,1768
605.mcf_s-782B,1762
619.lbm_s-3766B,1734
605.mcf_s-1152B,1604
602.gcc_s-1850B,1477
619.lbm_s-2676B,1391
619.lbm_s-4268B,1390
603.bwaves_s-1740B,1380
603.bwaves_s-2609B,1380
603.bwaves_s-891B,1293
605.mcf_s-1536B,1259
605.mcf_s-484B,1246
631.deepsjeng_s-928B,1082
649.fotonik3d_s-7084B,1056
654.roms_s-294B,1023
603.bwaves_s-2931B,921
605.mcf_s-472B,851
654.roms_s-1070B,809
459.GemsFDTD-765B,791
459.GemsFDTD-1491B,773
459.GemsFDTD-1169B,761
459.GemsFDTD-1320B,756
459.GemsFDTD-1418B,756
605.mcf_s-665B,706
459.GemsFDTD-1211B,693
649.fotonik3d_s-8225B,673
649.fotonik3d_s-1176B,671
654.roms_s-1007B,584
654.roms_s-523B,501
654.roms_s-1613B,478
433.milc-274B,430
410.bwaves-2097B,424
410.bwaves-1963B,424
429.mcf-217B,406
470.lbm-1274B,404
433.milc-127B,385
433.milc-337B,363
620.omnetpp_s-141B,314
620.omnetpp_s-874B,289
436.cactusADM-1804B,289
607.cactuBSSN_s-2421B,277
654.roms_s-293B,259
458.sjeng-767B,256
458.sjeng-283B,255
458.sjeng-31B,250
483.xalancbmk-716B,244
483.xalancbmk-736B,235
458.sjeng-1088B,230
602.gcc_s-2226B,229
605.mcf_s-1554B,184
473.astar-359B,176
471.omnetpp-188B,176
434.zeusmp-10B,166
628.pop2_s-17B,161
607.cactuBSSN_s-4004B,157
602.gcc_s-2375B,157
607.cactuBSSN_s-3477B,156
403.gcc-16B,146
483.xalancbmk-127B,139
403.gcc-17B,139
481.wrf-455B,116
481.wrf-1281B,114
644.nab_s-12521B,106
481.wrf-1170B,104
481.wrf-196B,97
481.wrf-816B,97
654.roms_s-842B,87
437.leslie3d-134B,82
437.leslie3d-149B,81
437.leslie3d-273B,81
437.leslie3d-232B,81
437.leslie3d-265B,81
437.leslie3d-271B,81
621.wrf_s-575B,77
623.xalancbmk_s-592B,77
627.cam4_s-490B,77
607.cactuBSSN_s-4248B,70
481.wrf-1254B,69
621.wrf_s-6673B,69
657.xz_s-3167B,64
644.nab_s-9322B,63
450.soplex-247B,61
657.xz_s-2302B,59
450.soplex-92B,58
623.xalancbmk_s-10B,57
621.wrf_s-8100B,55
621.wrf_s-8065B,53
602.gcc_s-734B,53
403.gcc-48B,52
644.nab_s-7928B,47
623.xalancbmk_s-325B,45
625.x264_s-20B,44
625.x264_s-12B,41
625.x264_s-33B,40
625.x264_s-18B,39
625.x264_s-39B,39
644.nab_s-5853B,38
462.libquantum-1343B,33
462.libquantum-714B,33
657.xz_s-56B,33
623.xalancbmk_s-700B,32
657.xz_s-4994B,31
627.cam4_s-573B,30
600.perlbench_s-570B,29
600.perlbench_s-210B,28
600.perlbench_s-1273B,28
445.gobmk-17B,27
445.gobmk-30B,27
445.gobmk-36B,27
473.astar-153B,26
400.perlbench-50B,25
400.perlbench-41B,25
473.astar-42B,25
603.bwaves_s-1080B,24
482.sphinx3-417B,19
623.xalancbmk_s-202B,19
401.bzip2-277B,18
482.sphinx3-234B,18
638.imagick_s-824B,17
454.calculix-460B,17
654.roms_s-1021B,17
482.sphinx3-1100B,17
603.bwaves_s-3699B,16
623.xalancbmk_s-165B,16
482.sphinx3-1297B,16
445.gobmk-2B,16
444.namd-321B,15
482.sphinx3-1395B,15
482.sphinx3-1522B,13
603.bwaves_s-5359B,12
644.nab_s-12459B,12
641.leela_s-1083B,11
464.h264ref-57B,11
641.leela_s-1052B,10
649.fotonik3d_s-1B,10
447.dealII-3B,10
435.gromacs-228B,10
435.gromacs-226B,10
456.hmmer-327B,10
401.bzip2-226B,10
464.h264ref-64B,9
435.gromacs-111B,8
435.gromacs-134B,8
401.bzip2-38B,8
464.h264ref-97B,8
464.h264ref-30B,8
641.leela_s-862B,8
641.leela_s-334B,7
641.leela_s-602B,7
641.leela_s-800B,7
641.leela_s-149B,6
444.namd-120B,6
456.hmmer-191B,6
456.hmmer-88B,6
401.bzip2-7B,6
444.namd-33B,5
444.namd-426B,5
444.namd-23B,5
444.namd-166B,5
444.namd-44B,5
638.imagick_s-10316B,4
638.imagick_s-4128B,4
465.tonto-1914B,3
410.bwaves-945B,3
465.tonto-44B,3
453.povray-252B,2
453.povray-800B,2
453.povray-887B,2
453.povray-576B,2
454.calculix-104B,1
416.gamess-875B,1
648.exchange2_s-72B,1
648.exchange2_s-584B,1
648.exchange2_s-1227B,1
648.exchange2_s-1247B,1
648.exchange2_s-387B,1
648.exchange2_s-353B,1
648.exchange2_s-1712B,1
648.exchange2_s-210B,1
648.exchange2_s-1699B,1
648.exchange2_s-1511B,1
